Game,Region,Game ID,Format,Emulator/Core,Device,Hardware Revision,TreeFrogUI Version,Performance,Audio,Graphics,Status,Required Settings,Notes,Reported By
Tekken 3,USA,SLUS-00402,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Regular,Regular,Good,Playable with Issues,Yes,"Performance drops are observed in several game scenarios, but it is playable.",MartStartIV
"007: The World is Not Enough",PAL,"SLES-03137",BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Pefect,Good,Playable,Global default,Good overall performance,MartStartIV
2002 FIFA World Cup,PAL,SLES-03830,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Good,Good,Playable,Global default,"Good performance, though with some FPS drops.",MartStartIV
In Cold Blood,PAL,SCES-02153,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Good,Regular,Playable,Global default,"Adequate performance, though it feels sluggish at times.",MartStartIV
Aconcagua,NTSC,SCPS-10131,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Pefect,Good,Low,Pefect,Global default,"Based on my testing, the version I tried is translated into Spanish.",MartStartIV
Alien Resurrection,PAL,SLES-02913,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Good,Good,Playable,Global default,Good overall performance,MartStartIV
F1 2000,PAL,SLES-02722,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,None,None,None,Not Playable,None,It only loads the EA GAMES intro video,MartStartIV
Alien Trilogy,PAL,SLES-00101,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Good,Good,Playable,Global default,"Sometimes the game drops to around 4 fps, but only on occasion.",MartStartIV
Alone in the dark - The New Nightmared,PAL,SLES-02801,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Pefect,Regular,Playable,Global default,The performance is quite good.,MartStartIV
Atlantis: The Lost Empire,PAL,SCES-03541,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Good,Good,Good,Playable,Global default,It feels a bit demanding for the console at times.,MartStartIV
Batman & Robin,PAL,SLES-00102,BIN/CUE,Pcsx4all,R36HD,R36HD (Backup 2.7 R36SX),V1.3.0_I,Regular,Good,Regular,Playable,Global default,The FPS are a bit low but stable.,MartStartIV
